bank,variant,mae,mu,omega,alpha[1],beta[1],mu_se,omega_se,alpha[1]_se,beta[1]_se,gamma_used,gamma[1],gamma[1]_se
BID,GARCH,0.00965237844504246,0.1043212021227148,0.11210558609752011,0.05940823882293144,0.9197161993701993,0.04818503795773359,0.053283140214671613,0.013560540704010464,0.021599018217258577,,,
BID,GJR-GARCH,0.009013551410072458,0.08183025452271936,0.14849632426770226,0.04595456869140725,0.908354880557443,0.04913356165991505,0.07286540308564367,0.012356978233482554,0.026150577330711713,0.035455212625470724,0.035455212625470724,0.022405642258120872
BID,EGARCH,0.009413692149720192,0.09729075970757745,0.04402488767411828,0.12444770617409388,0.9776950056988322,0.05066957722539577,0.01563013252735992,0.02511728594671917,0.008921065918536163,,,
CTG,GARCH,0.009764337548780202,0.04013001144004051,0.12434713941797855,0.09018373555857077,0.8878885465681583,0.04504532318220385,0.04763377074647615,0.016683271506612248,0.02180221769957724,,,
CTG,GJR-GARCH,0.008933110605235934,0.012022167627476616,0.14928978919766644,0.05831141859531342,0.8804053683526328,0.04496925936722537,0.06783130252898176,0.015988068453983387,0.02743939642851979,0.0709556849586089,0.0709556849586089,0.030688792231737885
CTG,EGARCH,0.009536981270033372,0.030619442996453392,0.0675589974179499,0.2063506189522559,0.9632100846340778,0.04546008484916255,0.01961198024961265,0.03344059722884206,0.011684005343082652,,,
VCB,GARCH,0.008473911979082215,0.10260444216571607,0.12793328554721006,0.07550635393162645,0.8856102818699025,0.037750221164266864,0.1132194510556757,0.033562135461279306,0.06676760459092154,,,
VCB,GJR-GARCH,0.007870586530367235,0.09234634685975245,0.1594355676854871,0.06749891630448636,0.8689308973570049,0.03823715588529447,0.16741172992122444,0.030376574946535652,0.09329132156758796,0.030342484581708185,0.030342484581708185,0.04062814103764961
VCB,EGARCH,0.008130955650774456,0.1155324096716949,0.05091008989685865,0.15636432513422688,0.9633178910887856,0.003124926572305153,0.026340431122397066,0.04515686592892178,0.021624250241106913,,,
