feature,importance
garch_sigma_sq,0.07769593596458435
garch_sigma,0.0707777589559555
close_ma20,0.057667821645736694
close_ma50,0.03601221740245819
garch_sigma_lag_1,0.03412101790308952
high_low_range,0.03396903723478317
rsi,0.026613574475049973
vnindex_return,0.025951307266950607
return_lag_3,0.02429303526878357
abs_return_lag_1,0.02353687211871147
vn30_close,0.02254374884068966
abs_return_lag_3,0.021428147330880165
abs_return_lag_5,0.021383989602327347
volatility_20d,0.021380089223384857
vol20_lag_1,0.02090955525636673
ma20_ma50,0.020718472078442574
garch_z,0.0206497460603714
vol20_lag_3,0.02048247866332531
garch_z_lag_1,0.019996877759695053
return_lag_4,0.01974322833120823
volume_lag_1,0.019307853654026985
abs_return_lag_2,0.019307680428028107
return_lag_1,0.019269611686468124
abs_return_lag_4,0.019155099987983704
volume,0.019126486033201218
vol20_lag_2,0.01892048679292202
return_lag_2,0.01825806312263012
return_lag_5,0.018063141033053398
vn30_return,0.017866812646389008
abs_return,0.01772475242614746
usd_vnd,0.017368929460644722
ma50,0.017292747274041176
vnindex_close,0.017026590183377266
usd_vnd_change,0.016805950552225113
volume_lag_3,0.01630498468875885
open_close_gap,0.01622353307902813
volume_lag_2,0.016191497445106506
close,0.015916168689727783
interest_rate,0.01564233936369419
log_return,0.015062684193253517
log_volume,0.015003652311861515
ma20,0.01428584661334753
interest_rate_change,0.0
