bank,fold,comparison,dm_stat,p_value,significant_05,significant_10
BID,1,GARCH vs Naive,10.533777611414411,0.0,Yes,Yes
BID,2,GARCH vs Naive,6.6130333073937955,3.7652325701742484e-11,Yes,Yes
BID,3,GARCH vs Naive,7.099900339142411,1.248556813493451e-12,Yes,Yes
BID,4,GARCH vs Naive,4.838851775095122,1.3059139183368984e-06,Yes,Yes
CTG,1,GARCH vs Naive,8.19273694258676,2.220446049250313e-16,Yes,Yes
CTG,2,GARCH vs Naive,8.118566085150798,4.440892098500626e-16,Yes,Yes
CTG,3,GARCH vs Naive,8.507457820360568,0.0,Yes,Yes
CTG,4,GARCH vs Naive,4.353518049418832,1.3397005966808706e-05,Yes,Yes
VCB,1,GARCH vs Naive,8.055069567506772,8.881784197001252e-16,Yes,Yes
VCB,2,GARCH vs Naive,6.571870567046966,4.968714328867918e-11,Yes,Yes
VCB,3,GARCH vs Naive,7.030158770451864,2.063016424358466e-12,Yes,Yes
VCB,4,GARCH vs Naive,2.125413347406299,0.03355213751896047,Yes,Yes
