bank,fold,train_n,test_n,train_end,test_start,test_end,naive_mae,garch_mae,mu,mu_se,mu_z,mu_p,omega,omega_se,omega_z,omega_p,alpha,alpha_se,alpha_z,alpha_p,beta,beta_se,beta_z,beta_p,persistence,mu_sig,omega_sig,alpha_sig,beta_sig
BID,1,504,501,2018-02-09,2018-02-12,2020-02-19,0.018340744538071465,0.01223988327677024,0.0011591969803963573,0.08404342222295294,0.013792834105698414,0.9889952595462601,0.32716711230283446,0.2058049019572024,1.5896954309225813,0.11190347409597612,0.06486646651305644,0.022812775285580067,2.8434272332511195,0.004463119943250993,0.8490841174881657,0.06805588384414872,12.476277869414048,0.0,0.9139505840012221,,,***,***
BID,2,1005,501,2020-02-19,2020-02-20,2022-02-18,0.016214264021285476,0.012372852566305619,0.0014620943548642822,0.06090575373230395,0.02400584945209862,0.9808479428647041,0.08879399503914416,0.06248089907298081,1.4211382415516836,0.1552765744984741,0.05404700237888733,0.019123409772045685,2.8262220505201134,0.004710060091845714,0.9269641743818066,0.03071587631489231,30.178666070887143,0.0,0.9810111767606939,,,***,***
BID,3,1506,501,2022-02-18,2022-02-21,2024-02-21,0.01570521502446896,0.011669199386316664,0.001174697940939786,0.050683588625585155,0.023177086958416294,0.9815090156560056,0.12465588470733022,0.06262439488280078,1.9905323626778202,0.046532322652034885,0.06260613646240958,0.0159403201002009,3.9275332031519574,8.582157583436612e-05,0.9121550190535355,0.026710941557528248,34.14911515151934,0.0,0.974761155515945,,**,***,***
BID,4,2007,501,2024-02-21,2024-02-22,2026-02-26,0.011668197711568502,0.009392894491334213,0.001006543787610841,0.0429599389298418,0.023429823521272583,0.9813074158020245,0.1004597680137776,0.04017947989023234,2.50027547116655,0.012409676893451627,0.05957807339769765,0.011637852939375679,5.119335474339974,3.066141218699414e-07,0.9198221254518436,0.01752571832807632,52.48413264626548,0.0,0.9794001988495412,,**,***,***
CTG,1,501,498,2018-03-06,2018-03-07,2020-03-03,0.01630432557223564,0.011672530257926597,0.000251581545175796,0.0714637193261957,0.0035204093426407547,0.9971911255396642,0.10253102981501762,0.04181479491992512,2.4520275661129856,0.014205377901976624,0.08790814149084522,0.02021440437411211,4.34878712545328,1.3689250832893407e-05,0.8879154777684566,0.017359850242545417,51.147646169916754,0.0,0.9758236192593018,,**,***,***
CTG,2,999,498,2020-03-03,2020-03-04,2022-02-28,0.01733842377138957,0.012396813764083347,0.00023905552041114783,0.052815723554072054,0.004526218791008437,0.9963886122387196,0.09314096138155015,0.03783478544729597,2.4617811434743286,0.01382489984304991,0.08774457659807022,0.021361657259423218,4.107573468316166,3.998376145197824e-05,0.8931460439504756,0.02458709458397548,36.32580665031399,0.0,0.9808906205485458,,**,***,***
CTG,3,1497,498,2022-02-28,2022-03-01,2024-02-26,0.015430953370248983,0.010670424459330894,0.0005579472466747748,0.04831893211083063,0.01154717669246071,0.9907868907385142,0.10950169736468884,0.04975308551597713,2.2009026420989453,0.027742916859148536,0.0818537158465326,0.01925452096878045,4.251142678607864,2.126826181947372e-05,0.8967760129140795,0.02607833317246133,34.38778111252422,0.0,0.978629728760612,,**,***,***
CTG,4,1995,498,2024-02-26,2024-02-27,2026-02-26,0.01176938716502881,0.009704282993706416,0.0005532906241966735,0.03999788821827365,0.013832995911616509,0.98896321811823,0.10669413388288797,0.03675657957245618,2.902722046608494,0.0036993480692726344,0.08640410843681873,0.014563686413911233,5.932845982888338,2.9772810883343936e-09,0.8930042677351538,0.01857074218716315,48.08662242656271,0.0,0.9794083761719725,,***,***,***
VCB,1,504,501,2018-02-09,2018-02-12,2020-02-19,0.013675574981602703,0.009610413056542798,0.0010780451888968907,0.061788587810829486,0.017447318786398047,0.9860797599574127,0.05369095301659826,0.03585625123763077,1.4973944894788709,0.13429064128931012,0.06804189573442056,0.01746252102430396,3.8964531890739784,9.76116632698254e-05,0.9170184942626773,0.022803455701567294,40.214014325892286,0.0,0.9850603899970979,,,***,***
VCB,2,1005,501,2020-02-19,2020-02-20,2022-02-18,0.013213952543110656,0.010048440265042499,0.0011796183689386777,0.04632832870085944,0.025462139516308397,0.9796863469784212,0.047351046702008216,0.030254823590862002,1.5650742950062966,0.1175654899585401,0.052145501813938726,0.017607397315604446,2.9615678501061087,0.0030607704676226533,0.9325131964652069,0.025557595603607253,36.486734156384806,0.0,0.9846586982791456,,,***,***
VCB,3,1506,501,2022-02-18,2022-02-21,2024-02-21,0.011582228524802594,0.008502378531667356,0.001093095602526961,0.03924338042992942,0.027854267154144012,0.9777783838003062,0.09645679419552942,0.054851938177626104,1.7584938180885243,0.07866352250859121,0.06924422658738198,0.020247450708568995,3.419898513844851,0.0006264450154778167,0.9013684090869933,0.034541825810893205,26.0949844985535,0.0,0.9706126356743753,,*,***,***
VCB,4,2007,501,2024-02-21,2024-02-22,2026-02-26,0.008850996022138454,0.008021826015044357,0.0009046412923878278,0.033909520847121656,0.026678091279034293,0.9787164875389252,0.11477680934720523,0.12206178614081574,0.9403173013935234,0.34705482755160677,0.07191327002859052,0.039373969459941385,1.826416564419654,0.06778753863946241,0.8901054136637466,0.07877281214320034,11.299652626919457,0.0,0.9620186836923371,,,*,***
