bank,rows_total,train_rows,val_rows,test_rows,train_end,val_start,test_start,model,val_mae,val_rmse,test_mae,test_rmse
BID,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,Naive,0.41800531914893635,0.5769778656472088,0.46098143236074246,0.7366867903360985
BID,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,NeuralProphet baseline,0.6866716196181927,0.888286038697579,1.011189976295046,1.7150874678273242
BID,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,NeuralProphet + lagged,0.8750845432281492,1.0774165069907577,1.245531822629569,2.4745975804332128
CTG,2495,1746,374,375,2023-02-24,2023-02-27,2024-08-23,Naive,0.23342245989304825,0.33717844654253076,0.3445599999999999,0.5226892001945325
CTG,2495,1746,374,375,2023-02-24,2023-02-27,2024-08-23,NeuralProphet baseline,0.41341501796946817,0.554541053443714,0.6734685579427082,0.9107455360278622
CTG,2495,1746,374,375,2023-02-24,2023-02-27,2024-08-23,NeuralProphet + lagged,0.48775541376940074,0.6326020612010114,0.6551491239420574,0.9842006081391259
VCB,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,Naive,0.5069148936170214,0.6958406059839928,0.5801591511936338,0.9681837846446336
VCB,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,NeuralProphet baseline,1.0704339611783942,1.3869105332670468,1.6622627165210027,2.817643160654445
VCB,2510,1757,376,377,2023-02-20,2023-02-21,2024-08-21,NeuralProphet + lagged,1.1896845054626466,1.4761584587622523,1.6428359515850361,3.007121453060533
