bank,garch_weight,ridge_weight,naive_vol_mae,hybrid_vol_mae,vol_improvement_pct,naive_price_mae,hybrid_price_mae,price_improvement_pct
BID,0.0,1.0,0.011348241543605152,0.011856430751723067,-4.478131754291784,0.5695187165775399,0.45982244523635585,19.261223230799466
BID,0.25,0.75,0.011348241543605152,0.011791646706887284,-3.907258772897683,0.5695187165775399,0.45982244523635585,19.261223230799466
BID,0.45,0.55,0.011348241543605152,0.01174357082130533,-3.4836170536302067,0.5695187165775399,0.45982244523635585,19.261223230799466
BID,0.5,0.5,0.011348241543605152,0.011731825736862711,-3.3801200986395297,0.5695187165775399,0.45982244523635585,19.261223230799466
BID,0.75,0.25,0.011348241543605152,0.011678178546123272,-2.907384384182788,0.5695187165775399,0.45982244523635585,19.261223230799466
BID,1.0,0.0,0.011348241543605152,0.011643551866059795,-2.602256229037116,0.5695187165775399,0.45982244523635585,19.261223230799466
CTG,0.0,1.0,0.011227593954681765,0.010901834261061078,2.9014203304426536,0.4098655913978494,0.37679472084856047,8.068711119784536
CTG,0.25,0.75,0.011227593954681765,0.011101621929334097,1.1219859380035728,0.4098655913978494,0.37679472084856047,8.068711119784536
CTG,0.45,0.55,0.011227593954681765,0.011274346911269849,-0.4164111810312507,0.4098655913978494,0.37679472084856047,8.068711119784536
CTG,0.5,0.5,0.011227593954681765,0.011320222901950951,-0.8250115531703986,0.4098655913978494,0.37679472084856047,8.068711119784536
CTG,0.75,0.25,0.011227593954681765,0.011553443012303662,-2.902216262336611,0.4098655913978494,0.37679472084856047,8.068711119784536
CTG,1.0,0.0,0.011227593954681765,0.011795651237066612,-5.059474760823301,0.4098655913978494,0.37679472084856047,8.068711119784536
VCB,0.0,1.0,0.009311140090076784,0.014262062977477107,-53.17203736067402,0.7432085561497325,0.5896734777821848,20.658411033768466
VCB,0.25,0.75,0.009311140090076784,0.013103457864897396,-40.72882308861641,0.7432085561497325,0.5896734777821848,20.658411033768466
VCB,0.45,0.55,0.009311140090076784,0.012295782372443947,-32.05453095424914,0.7432085561497325,0.5896734777821848,20.658411033768466
VCB,0.5,0.5,0.009311140090076784,0.012100269939827036,-29.954761960060384,0.7432085561497325,0.5896734777821848,20.658411033768466
VCB,0.75,0.25,0.009311140090076784,0.011144728563684033,-19.692416351477416,0.7432085561497325,0.5896734777821848,20.658411033768466
VCB,1.0,0.0,0.009311140090076784,0.010341137025518641,-11.06198516484101,0.7432085561497325,0.5896734777821848,20.658411033768466
